index,wiki_name,wiki_artist,year,sp_id,sp_name,sp_artist,duration,audio_features,flag
3141,"""poison""",alice cooper,1989,5XcZRgJv3zMhTqCyESjQrF,poison,alice cooper,270080,"{'danceability': 0.28, 'energy': 0.908, 'key': 2, 'loudness': -5.509, 'mode': 0, 'speechiness': 0.109, 'acousticness': 0.0327, 'instrumentalness': 8.85e-06, 'liveness': 0.18, 'valence': 0.26, 'tempo': 118.698}",0
3142,"""this time i know its for real""",donna summer,1989,6ez4yXpLini3DSbaLR10qZ,this time i know its for real,donna summer,218933,"{'danceability': 0.614, 'energy': 0.878, 'key': 4, 'loudness': -10.016, 'mode': 0, 'speechiness': 0.034, 'acousticness': 0.0154, 'instrumentalness': 0.00637, 'liveness': 0.0486, 'valence': 0.865, 'tempo': 116.029}",0
3143,"""smooth criminal""",michael jackson,1989,2bCQHF9gdG5BNDVuEIEnNk,smooth criminal - 2012 remaster,michael jackson,257760,"{'danceability': 0.853, 'energy': 0.981, 'key': 8, 'loudness': -3.947, 'mode': 1, 'speechiness': 0.0751, 'acousticness': 0.247, 'instrumentalness': 0.468, 'liveness': 0.306, 'valence': 0.595, 'tempo': 118.193}",0
3144,"""heaven help me""",deon estus,1989,4ihqSCopukVi1gqDseWiLb,heaven help me,deon estus,280999,"{'danceability': 0.596, 'energy': 0.443, 'key': 7, 'loudness': -16.695, 'mode': 1, 'speechiness': 0.0337, 'acousticness': 0.496, 'instrumentalness': 0.000443, 'liveness': 0.104, 'valence': 0.743, 'tempo': 92.255}",0
3145,"""rock witcha""",bobby brown,1989,7BVMXNnQSswMX8IJeZUb5T,rock witcha,bobby brown,289533,"{'danceability': 0.685, 'energy': 0.547, 'key': 11, 'loudness': -12.417, 'mode': 0, 'speechiness': 0.0487, 'acousticness': 0.0306, 'instrumentalness': 1.05e-05, 'liveness': 0.0694, 'valence': 0.909, 'tempo': 77.509}",0
3146,"""thinking of you""",sa-fire,1989,1JeeaFHs3t04MdOzPwVeBc,thinking of you,flo rida,220026,"{'danceability': 0.817, 'energy': 0.825, 'key': 10, 'loudness': -4.762, 'mode': 1, 'speechiness': 0.0343, 'acousticness': 0.281, 'instrumentalness': 6.2e-05, 'liveness': 0.0627, 'valence': 0.285, 'tempo': 131.043}",0
3147,"""what you dont know""",exposé,1989,7hHMxTGSSLVOFJw2I4TtOK,what you dont know,exposé,286893,"{'danceability': 0.67, 'energy': 0.825, 'key': 3, 'loudness': -11.306, 'mode': 0, 'speechiness': 0.037, 'acousticness': 0.213, 'instrumentalness': 5.66e-06, 'liveness': 0.111, 'valence': 0.851, 'tempo': 119.141}",0
3148,"""surrender to me""",ann wilson and robin zander,1989,34sIEdi9tN5Fi2rNaSHVTQ,surrender to me,firecityfunk,214727,"{'danceability': 0.624, 'energy': 0.672, 'key': 0, 'loudness': -11.108, 'mode': 1, 'speechiness': 0.0321, 'acousticness': 0.0191, 'instrumentalness': 0.511, 'liveness': 0.06, 'valence': 0.925, 'tempo': 108.746}",0
3149,"""the end of the innocence""",don henley,1989,3NWcFiL6oCEagrFiTdDr1m,the end of the innocence,don henley,315306,"{'danceability': 0.623, 'energy': 0.425, 'key': 8, 'loudness': -13.045, 'mode': 1, 'speechiness': 0.0291, 'acousticness': 0.306, 'instrumentalness': 8.65e-05, 'liveness': 0.108, 'valence': 0.392, 'tempo': 116.593}",0
3150,"""keep on movin""",soul ii soul,1989,7upgDi9C0pQn9HZzGfksJq,keep on movin,soul ii soul,361626,"{'danceability': 0.676, 'energy': 0.386, 'key': 6, 'loudness': -16.148, 'mode': 0, 'speechiness': 0.0633, 'acousticness': 0.0264, 'instrumentalness': 0.00054, 'liveness': 0.0414, 'valence': 0.671, 'tempo': 93.139}",0
